Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
""
""
""
""
""
""
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей,Sdfsf r4gh ,Привет Андрей,Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 ,11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 ,11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
Sdfsf r4gh ,Привет Андрей
11223d,Rhre6js, Erhgetj, Drthdth ,,,уыауа,Никита Должиков аыаыу,ыуаыуа,https://awdaw634 sdfsedf st45636 
[],"[""Привет Андрей']""]"
['https://awdaw634'],['Никита Должиков']
[],"[""Привет Андрей']""]"
['https://awdaw634'],['Никита Должиков']
[],"[""Привет Андрей']""]"
['https://awdaw634'],['Никита Должиков']
[],"[""Привет Андрей']""]"
['https://awdaw634'],['Никита Должиков']
[],"[""Привет Андрей']""]"
['https://awdaw634'],['Никита Должиков']
[],[]
[],[]
[],[]
[],['Андрей Должиков']
[],[]
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],[],[]
[],[],"[""Описание вакансии:',""]"
[],[],"[""Описание вакансии:',""]"
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],[],"[""Описание вакансии:',""]"
[],[],['Описание в']
[],[],['Описание в']
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],[],['Описание в']
[],[],['Описание в']
[],[],['Описание в']
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],[],['Описание в']
[],[],['Описание в']
[],[],['Описание в']
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],[],['Описание в']
[],[],"[""Описание вакансии:', '', 'О нас в цифрах: 21 год на рынке, 400 миллионов пользователей, 37 офисов по всему миру. Сегодня наша команда – это 4 000 экспертов, все мы – обычные люди, со своими особенностями и увлечениями. И вместе мы 24 часа в сутки спасаем мир от киберугроз. Работа у нас – это возможность стать настоящим героем, оставаясь самим собой.', 'Мы ищем опытного, талантливого и ответственного разработчика с широким кругозором, Проекты, над которыми работает команда: оркестратор для тестовой инфраструктуры, управление гипервизорами; хранилище (OpenStack/Swift), сборочные конвейеры (собственный кластер из пары сотен машин).', '', 'Основные обязанности:', '', 'Построение высоконагруженных решений по автоматизации разработки и тестирования для ускорения выпуска новых продуктов', '', 'Требования:', '', 'Образование: высшее техническое образование, предпочтительно в области ИТ', 'Экспертные знания C#, .NET (многопоточность, асинхронность, современные фреймворки и библиотеки)', 'Опыт работы с docker, kubernetes, CI & CD', 'Владение Python (либо готовность разбираться)', 'Опыт разработки распределённых систем', 'Умение как самостоятельно, так и в команде полностью доводить до конца поставленные задачи', '', 'Будет плюсом:', '', 'Понимание принципов тестирования ПО', 'Опыт использования СУБД или NoSql', 'Интерес к исследовательской деятельности', 'Владение основами администрирования', 'Опыт разработки высоконагруженных систем', '', 'Мы предлагаем:', '', 'Работу в команде крутейших экспертов', 'Огромнейший социальный пакет', 'Отличный офис: 2 спортзала, сауна, ресторан, массаж и врач', 'Ежемесячный бонус на обеды (живыми деньгами)', 'Бесплатное обучение: митапы, конференции, сертификации, 7 иностранных языков', 'Солидную программу релокации для кандидатов из регионов России и стран ЕАЭС', 'А про наши корпоративы вы, наверняка, слышали!', '', 'Не предлагаем: ', 'Серую з/п', 'Дресс - код', 'Скучные задачи', 'Устаревшие технологии', 'Унылых коллег']""]"
[],[],"[""Описание вакансии:', 'О нас в цифрах: 21 год на рынке, 400 миллионов пользователей, 37 офисов по всему миру. Сегодня наша команда – это 4 000 экспертов, все мы – обычные люди, со своими особенностями и увлечениями. И вместе мы 24 часа в сутки спасаем мир от киберугроз. Работа у нас – это возможность стать настоящим героем, оставаясь самим собой.', 'Мы ищем опытного, талантливого и ответственного разработчика с широким кругозором. Проекты, над которыми работает команда: оркестратор для тестовой инфраструктуры, управление гипервизорами; хранилище (OpenStack/Swift), сборочные конвейеры (собственный кластер из пары сотен машин).', 'Обязанности:', '', 'Построение высоконагруженных решений по автоматизации разработки и тестирования для ускорения выпуска новых продуктов.', '', 'Требования:', '', 'Образование - высшее техническое образование, предпочтительно в области ИТ', 'Экспертные знания Python (Python 2.7 & Python 3.5+)', 'Знание современных средств разработки', 'Опыт работы с docker, ansible, CI & CD', 'Опыт разработки распределённых систем', '', 'Будет плюсом:', '', 'Понимание принципов тестирования ПО', 'Знание .net/c#', 'Опыт использования СУБД или NoSql', 'Интерес к исследовательской деятельности', 'Владение основами администрирования', 'Опыт разработки высоконагруженных систем', '', 'Мы предлагаем:', '', 'Работу в команде крутейших экспертов', 'Огромнейший социальный пакет', 'Отличный офис: 2 спортзала, сауна, ресторан, массаж и врач', 'Ежемесячный бонус на обеды (живыми деньгами)', 'Бесплатное обучение: митапы, конференции, сертификации, 7 иностранных языков', 'Солидную программу релокации для кандидатов из регионов России и стран ЕАЭС', '', 'А про наши корпоративы вы, наверняка, слышали!', '', 'Не предлагаем: ', 'Серую з/п', 'Дресс - код', 'Скучные задачи', 'Устаревшие технологии', 'Унылых коллег', '']""]"
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],[],"[""Описание вакансии:', 'О нас в цифрах: 21 год на рынке, 400 миллионов пользователей, 37 офисов по всему миру. Сегодня наша команда – это 4 000 экспертов, все мы – обычные люди, со своими особенностями и увлечениями. И вместе мы 24 часа в сутки спасаем мир от киберугроз. Работа у нас – это возможность стать настоящим героем, оставаясь самим собой.', '', 'Мы ищем опытного разработчика, умеющего работать в команде. Мы развиваем высоконагруженный сервис динамического (поведенческого) анализа файлов, который используется как внутри компании, так и в наших продуктах.', '', 'Основные функции и задачи:', '', 'Разработка и исправление ошибок в продуктовых сервисах и компонентах под Linux', 'Проведение исследований по развитию продуктовых и инфраструктурных сервисов', ' ', 'Требования к кандидату:', '', 'Опыт работы на схожей позиции от 2 лет, хорошее знание Python 2.x', 'Знание IP, маршрутизации, netfilter/iptables, опыт написания сетевых сервисов', 'Знание SQL, опыт работы с СУБД PostgreSQL, проектирования реляционных баз данных', 'Владение основами информационной безопасности, желание постоянно развиваться и совершенствоваться, изучать новое, проектировать и разрабатывать сложные системы', 'Умение быстро разбираться в чужом коде, оптимизировать и рефакторить как свой, так и чужой код', 'Технический английский', '', 'Желательно:', '', 'Знания и опыт программирования на C/C++', 'Опыт проведения code review, написания unit tests, разработки высоконагруженных систем', 'Навыки администрирования Linux и разработки под Linux (Debian, RedHat GNU/Linux)', 'Знакомство с написанием демонов под Linux, опыт разработки многопоточного ПО', 'Знакомство с greenlet/gevent (Python), неблокирующими сокетами, особенностями их работы', 'Знакомство с созданием REST сервисов и протоколом HTTP', '', 'Мы предлагаем:', '', 'Работу в команде крутейших экспертов', 'Огромнейший социальный пакет', 'Отличный офис: 2 спортзала, сауна, ресторан, массаж и врач', 'Ежемесячный бонус на обеды (живыми деньгами)', 'Бесплатное обучение: митапы, конференции, сертификации, 7 иностранных языков', 'Солидную программу релокации для кандидатов из регионов России и стран ЕАЭС', '', 'А про наши корпоративы вы, наверняка, слышали!', '', 'Не предлагаем: ', 'Серую з/п', 'Дресс - код', 'Скучные задачи', 'Устаревшие технологии', 'Унылых коллег']""]"
[],[],['Описание в']
[],[],['Описание в']
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],[],['Описание в']
[],[],['Описание ']
[],[],['Описание ']
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],[],['Описание ']
[],[],"[""Описание вакансии:', '', 'О нас в цифрах: 21 год на рынке, 400 миллионов пользователей, 37 офисов по всему миру. Сегодня наша команда – это 4 000 экспертов, все мы – обычные люди, со своими особенностями и увлечениями. И вместе мы 24 часа в сутки спасаем мир от киберугроз. Работа у нас – это возможность стать настоящим героем, оставаясь самим собой.', 'Мы ищем опытного, талантливого и ответственного разработчика с широким кругозором, Проекты, над которыми работает команда: оркестратор для тестовой инфраструктуры, управление гипервизорами; хранилище (OpenStack/Swift), сборочные конвейеры (собственный кластер из пары сотен машин).', '', 'Основные обязанности:', '', 'Построение высоконагруженных решений по автоматизации разработки и тестирования для ускорения выпуска новых продуктов', '', 'Требования:', '', 'Образование: высшее техническое образование, предпочтительно в области ИТ', 'Экспертные знания C#, .NET (многопоточность, асинхронность, современные фреймворки и библиотеки)', 'Опыт работы с docker, kubernetes, CI & CD', 'Владение Python (либо готовность разбираться)', 'Опыт разработки распределённых систем', 'Умение как самостоятельно, так и в команде полностью доводить до конца поставленные задачи', '', 'Будет плюсом:', '', 'Понимание принципов тестирования ПО', 'Опыт использования СУБД или NoSql', 'Интерес к исследовательской деятельности', 'Владение основами администрирования', 'Опыт разработки высоконагруженных систем', '', 'Мы предлагаем:', '', 'Работу в команде крутейших экспертов', 'Огромнейший социальный пакет', 'Отличный офис: 2 спортзала, сауна, ресторан, массаж и врач', 'Ежемесячный бонус на обеды (живыми деньгами)', 'Бесплатное обучение: митапы, конференции, сертификации, 7 иностранных языков', 'Солидную программу релокации для кандидатов из регионов России и стран ЕАЭС', 'А про наши корпоративы вы, наверняка, слышали!', '', 'Не предлагаем: ', 'Серую з/п', 'Дресс - код', 'Скучные задачи', 'Устаревшие технологии', 'Унылых коллег']""]"
[],[],"[""Описание вакансии:', 'О нас в цифрах: 21 год на рынке, 400 миллионов пользователей, 37 офисов по всему миру. Сегодня наша команда – это 4 000 экспертов, все мы – обычные люди, со своими особенностями и увлечениями. И вместе мы 24 часа в сутки спасаем мир от киберугроз. Работа у нас – это возможность стать настоящим героем, оставаясь самим собой.', 'Мы ищем опытного, талантливого и ответственного разработчика с широким кругозором. Проекты, над которыми работает команда: оркестратор для тестовой инфраструктуры, управление гипервизорами; хранилище (OpenStack/Swift), сборочные конвейеры (собственный кластер из пары сотен машин).', 'Обязанности:', '', 'Построение высоконагруженных решений по автоматизации разработки и тестирования для ускорения выпуска новых продуктов.', '', 'Требования:', '', 'Образование - высшее техническое образование, предпочтительно в области ИТ', 'Экспертные знания Python (Python 2.7 & Python 3.5+)', 'Знание современных средств разработки', 'Опыт работы с docker, ansible, CI & CD', 'Опыт разработки распределённых систем', '', 'Будет плюсом:', '', 'Понимание принципов тестирования ПО', 'Знание .net/c#', 'Опыт использования СУБД или NoSql', 'Интерес к исследовательской деятельности', 'Владение основами администрирования', 'Опыт разработки высоконагруженных систем', '', 'Мы предлагаем:', '', 'Работу в команде крутейших экспертов', 'Огромнейший социальный пакет', 'Отличный офис: 2 спортзала, сауна, ресторан, массаж и врач', 'Ежемесячный бонус на обеды (живыми деньгами)', 'Бесплатное обучение: митапы, конференции, сертификации, 7 иностранных языков', 'Солидную программу релокации для кандидатов из регионов России и стран ЕАЭС', '', 'А про наши корпоративы вы, наверняка, слышали!', '', 'Не предлагаем: ', 'Серую з/п', 'Дресс - код', 'Скучные задачи', 'Устаревшие технологии', 'Унылых коллег', '']""]"
"[""https://hh.ru/vacancy/26812598',""]","[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
[],"[""Даша Мелкова',"", 'Лаборатория Касперского»']",[]
